회사명,종목코드,업종,주요제품,상장일,시장구분,ticker
신한알파리츠,293940,부동산 임대 및 공급업,비거주 부동산 임대 서비스업,2018-08-08,KOSPI,293940.KS
한일시멘트,300720,"시멘트, 석회, 플라스터 및 그 제품 제조업","시멘트, 레미콘, 레미탈",2018-08-06,KOSPI,300720.KS
티웨이항공,091810,항공 여객 운송업,저가 항공운송,2018-08-01,KOSPI,091810.KS
롯데이노베이트,286940,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","SM, SI",2018-07-27,KOSPI,286940.KS
HS효성첨단소재,298050,화학섬유 제조업,PET타이어코드,2018-07-13,KOSPI,298050.KS
효성중공업,298040,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",-,2018-07-13,KOSPI,298040.KS
효성티앤씨,298020,화학섬유 제조업,"섬유, 산업자재, 화학, 중공업, 건설, 무역,금융 등",2018-07-13,KOSPI,298020.KS
효성화학,298000,기초 화학물질 제조업,-,2018-07-13,KOSPI,298000.KS
이리츠코크렙,088260,부동산 임대 및 공급업,부동산투자회사,2018-06-27,KOSPI,088260.KS
HDC현대산업개발,294870,건물 건설업,"외주주택, 자체공사, 일반건축, 토목 등",2018-06-12,KOSPI,294870.KS
애경산업,018250,기타 화학제품 제조업,"Age 20's,루나, 트리오, 2080치약, 순샘, 제트 등",2018-03-22,KOSPI,018250.KS
셀트리온,068270,기초 의약물질 제조업,"램시마, 트룩시마, 허쥬마",2018-02-09,KOSPI,068270.KS
쿠쿠홈시스,284740,개인 및 가정용품 임대업,"정수기, 공기청정기 등",2018-01-11,KOSPI,284740.KS
SK케미칼,285130,합성고무 및 플라스틱 물질 제조업,"PETG 수지, PET 수지, 바이오디젤, 백신",2018-01-05,KOSPI,285130.KS
BGF리테일,282330,종합 소매업,체인화 편의점,2017-12-08,KOSPI,282330.KS
DYP,092780,자동차용 엔진 및 자동차 제조업,자동차엔진용 피스톤,2017-12-08,KOSPI,092780.KS
진에어,272450,항공 여객 운송업,"여객, 화물 등 항공운송",2017-12-08,KOSPI,272450.KS
케이씨텍,281820,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","반도체, 디스플레이 제조 장비",2017-12-05,KOSPI,281820.KS
삼양패키징,272550,플라스틱제품 제조업,PET 용기 및 아셉틱 OEM,2017-11-29,KOSPI,272550.KS
테이팩스,055490,플라스틱제품 제조업,"OCA, 2차전지용 테이프, 산업용 랩 등",2017-10-31,KOSPI,055490.KS
롯데웰푸드,280360,기타 식품 제조업,"껌,캔디,초코,비스켓,빙과",2017-10-30,KOSPI,280360.KS
제일약품,271980,의약품 제조업,의약품,2017-07-17,KOSPI,271980.KS
카카오,035720,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",인터넷 서비스(인터넷 광고),2017-07-10,KOSPI,035720.KS
오리온,271560,기타 식품 제조업,스낵 등 과자류,2017-07-07,KOSPI,271560.KS
미원에스씨,268280,기초 화학물질 제조업,에너지경화수지,2017-05-22,KOSPI,268280.KS
경동도시가스,267290,연료용 가스 제조 및 배관공급업,도시가스,2017-05-12,KOSPI,267290.KS
넷마블,251270,소프트웨어 개발 및 공급업,온라인·모바일 게임 소프트웨어 개발 및 공급,2017-05-12,KOSPI,251270.KS
HD현대,267250,기타 금융업,지주회사,2017-05-10,KOSPI,267250.KS
HD현대건설기계,267270,일반 목적용 기계 제조업,"굴삭기, 지게차, 휠로더 등",2017-05-10,KOSPI,267270.KS
HD현대일렉트릭,267260,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","변압기, 고압차단기, 회전기, 배전반 등",2017-05-10,KOSPI,267260.KS
크라운제과,264900,"떡, 빵 및 과자류 제조업","비스킷, 스낵, 당과",2017-04-11,KOSPI,264900.KS
덴티움,145720,의료용 기기 제조업,치과용 기기 제조업,2017-03-15,KOSPI,145720.KS
호전실업,111110,봉제의복 제조업,스포츠웨어 및 아웃도어 웨어 OEM,2017-02-02,KOSPI,111110.KS
핸즈코퍼레이션,143210,자동차 신품 부품 제조업,자동차 알루미늄 휠,2016-12-02,KOSPI,143210.KS
두산밥캣,241560,특수 목적용 기계 제조업,"Compact Equipment, Heavy Equipment, Portable Power",2016-11-18,KOSPI,241560.KS
삼성바이오로직스,207940,기초 의약물질 제조업,바이오의약품,2016-11-10,KOSPI,207940.KS
JW생명과학,234080,의약품 제조업,"기초수액, TPN, 특수수액, HEMO, 영양수액 등",2016-10-27,KOSPI,234080.KS
화승엔터프라이즈,241590,신발 및 신발 부분품 제조업,,2016-10-04,KOSPI,241590.KS
LS에코에너지,229640,기타 금융업,,2016-09-22,KOSPI,229640.KS
스타에스엠리츠,204210,부동산 임대 및 공급업,"호텔 부동산 취득, 관리, 개량 및 처분",2016-09-22,KOSPI,204210.KS
일동제약,249420,의약품 제조업,"아로나민, 후루마린, 큐란, 라비에트, 사미온 등",2016-08-31,KOSPI,249420.KS
샘표식품,248170,기타 식품 제조업,간장,2016-08-09,KOSPI,248170.KS
두올,016740,자동차 신품 부품 제조업,시트 커버 및 시트 원단,2016-07-29,KOSPI,016740.KS
동서,026960,음·식료품 및 담배 도매업,"식품 유통, 다류 및 연포장재 제조 등",2016-07-15,KOSPI,026960.KS
한국자산신탁,123890,신탁업 및 집합투자업,"부동산 신탁 서비스, REITs",2016-07-13,KOSPI,123890.KS
한국토지신탁,034830,신탁업 및 집합투자업,부동산신탁 등,2016-07-11,KOSPI,034830.KS
해성디에스,195870,전자부품 제조업,반도체 패키지용 Substrate,2016-06-24,KOSPI,195870.KS
모나용평,070960,일반 및 생활 숙박시설 운영업,"리조트 운영, 콘도 분양",2016-05-27,KOSPI,070960.KS
해태제과식품,101530,기타 식품 제조업,"홈런볼, 오예스, 맛동산, 부라보콘 등",2016-05-11,KOSPI,101530.KS
삼일씨엔에스,004440,"시멘트, 석회, 플라스터 및 그 제품 제조업","PHC파일, 강교, PC",2016-03-30,KOSPI,004440.KS
제이에스코퍼레이션,194370,"가죽, 가방 및 유사제품 제조업",핸드백 및 지갑,2016-02-04,KOSPI,194370.KS
잇츠한불,226320,기타 화학제품 제조업,"스킨케어 베이직, 포인트 메이크업, 스킨케어 스페셜, 베이스 메이크업 등",2015-12-28,KOSPI,226320.KS
세진중공업,075580,선박 및 보트 건조업,"선박 Deck House, LPG Tank, Upper Deck Unit, 해양플랜트 Living Quarter",2015-11-30,KOSPI,075580.KS
금호에이치티,214330,자동차 신품 부품 제조업,자동차용 전구 및 LED모듈,2015-11-11,KOSPI,214330.KS
제주항공,089590,항공 여객 운송업,"여객운송서비스, 화물운송서비스",2015-11-06,KOSPI,089590.KS
현대코퍼레이션홀딩스,227840,음·식료품 및 담배 도매업,"브랜드사업, 육류유통",2015-10-23,KOSPI,227840.KS
LIG넥스원,079550,무기 및 총포탄 제조업,정밀유도무기 등,2015-10-02,KOSPI,079550.KS
HDC랩스,039570,전기 및 통신 공사업,"기계설비공사, 스마트홈, 지능형 빌딩, SOC, 인테리어, 조경, 시설관리",2015-09-24,KOSPI,039570.KS
동일제강,002690,1차 철강 제조업,"PC강연선, 경강선, 도금선, 마봉강",2015-09-24,KOSPI,002690.KS
AJ네트웍스,095570,산업용 기계 및 장비 임대업,"렌탈(파렛트, OA장비, 건설장비)",2015-08-21,KOSPI,095570.KS
이노션,214320,광고업,광고대행 및 광고물의 제작 등,2015-07-17,KOSPI,214320.KS
토니모리,214420,기타 화학제품 제조업,"스킨케어 베이직, 포인트 메이크업, 스킨케어 스페셜, 베이스 메이크업 등",2015-07-10,KOSPI,214420.KS
미래에셋생명,085620,보험업,생명보험상품,2015-07-08,KOSPI,085620.KS
경보제약,214390,기초 의약물질 제조업,"아토르바스타틴, 세프티족심, 세프트리약손",2015-06-29,KOSPI,214390.KS
SK디앤디,210980,부동산 임대 및 공급업,"비주거용 부동산개발 및 임대(오피스, 지식산업센터, 호텔 등)",2015-06-23,KOSPI,210980.KS
다이나믹디자인,145210,특수 목적용 기계 제조업,"타이어 금형, 타이어 제조설비",2015-03-19,KOSPI,145210.KS
한솔제지,213500,"펄프, 종이 및 판지 제조업","인쇄용지, 산업용지, 특수지 제조 및 판매",2015-01-26,KOSPI,213500.KS
디와이파워,210540,특수 목적용 기계 제조업,유공압기기 등,2015-01-15,KOSPI,210540.KS
삼성물산,028260,기타 전문 도매업,"도소매, 건설, 남자용 정장 제조업 등",2014-12-18,KOSPI,028260.KS
씨에스윈드,112610,"구조용 금속제품, 탱크 및 증기발생기 제조업",풍력발전타워 제조,2014-11-27,KOSPI,112610.KS
삼성에스디에스,018260,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","IT서비스, 물류BPO",2014-11-14,KOSPI,018260.KS
HL만도,204320,자동차 신품 부품 제조업,"제동장치, 조향장치, 현가장치",2014-10-06,KOSPI,204320.KS
서연이화,200880,자동차 신품 부품 제조업,자동차 도어 트림 및 시트,2014-08-08,KOSPI,200880.KS
쿠쿠홀딩스,192400,기타 금융업,주방용 전기기기 제조업,2014-08-06,KOSPI,192400.KS
화인베스틸,133820,1차 철강 제조업,"조선용 형강(부등변 부등후 앵글, 부등호 앵글, 등변앵글 평철 등)",2014-07-22,KOSPI,133820.KS
BGF,027410,기타 금융업,지주회사,2014-05-19,KOSPI,027410.KS
코스맥스,192820,기타 화학제품 제조업,화장품,2014-04-07,KOSPI,192820.KS
종근당,185750,의약품 제조업,"딜라트렌,리피로우",2013-12-06,KOSPI,185750.KS
신송홀딩스,006880,산업용 농·축산물 및 동·식물 도매업,사업경영 및 관리자문,2013-11-21,KOSPI,006880.KS
아세아시멘트,183190,"시멘트, 석회, 플라스터 및 그 제품 제조업","시멘트, 레미콘, 몰탈",2013-11-06,KOSPI,183190.KS
현대로템,064350,철도장비 제조업,"철도차량, 특수중기, 산업기계",2013-10-30,KOSPI,064350.KS
한진칼,180640,기타 금융업,"지주사업, 경영자문 및 컨설팅",2013-09-16,KOSPI,180640.KS
엔에이치엔,181710,소프트웨어 개발 및 공급업,한게임,2013-08-29,KOSPI,181710.KS
JB금융지주,175330,기타 금융업,금융지주 회사,2013-07-18,KOSPI,175330.KS
DSR,155660,1차 비철금속 제조업,합섬섬유로프,2013-05-15,KOSPI,155660.KS
동아에스티,170900,의약품 제조업,"스티렌, 자이데나",2013-04-08,KOSPI,170900.KS
지엠비코리아,013870,자동차 신품 부품 제조업,"V/S,EWP,ITM,CVJOINT",2012-11-20,KOSPI,013870.KS
LG헬로비전,037560,텔레비전 방송업,"케이블TV, 인터넷서비스 등",2012-11-09,KOSPI,037560.KS
동일고무벨트,163560,고무제품 제조업,"산업용고무제품, 종합고무부품",2012-10-19,KOSPI,163560.KS
한국콜마,161890,기타 화학제품 제조업,"화장품, 의약품",2012-10-19,KOSPI,161890.KS
한국타이어앤테크놀로지,161390,고무제품 제조업,타이어 제조,2012-10-04,KOSPI,161390.KS
애경케미칼,161000,기초 화학물질 제조업,무수프탈산 등,2012-09-17,KOSPI,161000.KS
사조씨푸드,014710,수산물 가공 및 저장 처리업,횟감용 참치 및 기타 일반수산물,2012-06-29,KOSPI,014710.KS
한국ANKOR유전,152550,신탁업 및 집합투자업,,2012-03-08,KOSPI,152550.KS
휴비스,079980,화학섬유 제조업,"합성섬유(폴리에스테르원사,원면),재생섬유,폴리에스텔 원사,원면,고상칩 제조,도소매",2012-02-23,KOSPI,079980.KS
케이탑리츠,145270,부동산 임대 및 공급업,부동산 임대,2012-01-31,KOSPI,145270.KS
GS리테일,007070,종합 소매업,"체인화 편의점,슈퍼마켓,마트,전자상거래/부동산(빌딩) 임대",2011-12-23,KOSPI,007070.KS
인터지스,129260,도로 화물 운송업,"화물운송,알선,하역",2011-12-16,KOSPI,129260.KS
삼양사,145990,기타 식품 제조업,설탕,2011-12-05,KOSPI,145990.KS
하나투어,039130,여행사 및 기타 여행보조 서비스업,"일반여행알선,컴퓨터프로그램 개발,보급,통신판매",2011-11-01,KOSPI,039130.KS
에이블씨엔씨,078520,기타 화학제품 제조업,"화장품 제조,도소매/소프트웨어 자문,개발,공급/전자상거래",2011-09-07,KOSPI,078520.KS
삼원강재,023000,자동차 신품 부품 제조업,"열간압연제품(평강,봉강,특수이형강,환강,자동차용 겹판스프링) 제조,판매",2011-07-22,KOSPI,023000.KS
신세계인터내셔날,031430,"섬유, 의복, 신발 및 가죽제품 소매업","섬유, 의복, 신발 및 가죽제품 소매",2011-07-14,KOSPI,031430.KS
에이리츠,140910,부동산 임대 및 공급업,,2011-07-14,KOSPI,140910.KS
한국항공우주,047810,"항공기,우주선 및 부품 제조업","정부방산 및 완제기 수출(T-50계열, KUH계열, KT-1계열 등), 기체부품",2011-06-30,KOSPI,047810.KS
롯데하이마트,071840,가전제품 및 정보통신장비 소매업,"가전제품,잡화 도소매/부동산 임대",2011-06-29,KOSPI,071840.KS
한세엠케이,069640,"섬유, 의복, 신발 및 가죽제품 소매업","케주얼웨어(BUCKAROO, TBJ 등)",2011-06-21,KOSPI,069640.KS
코오롱ENP,138490,합성고무 및 플라스틱 물질 제조업,엔지니어링플라스틱,2011-06-15,KOSPI,138490.KS
이마트,139480,종합 소매업,대형마트,2011-06-10,KOSPI,139480.KS
iM금융지주,139130,기타 금융업,지주회사,2011-06-07,KOSPI,139130.KS
케이티스카이라이프,053210,텔레비전 방송업,위성방송서비스,2011-06-03,KOSPI,053210.KS
세아특수강,019440,1차 철강 제조업,"냉간압조용선재,마봉강,스테인레스봉강 제조",2011-06-01,KOSPI,019440.KS
메리츠금융지주,138040,기타 금융업,투자사업,2011-05-13,KOSPI,138040.KS
한국종합기술,023350,"건축기술, 엔지니어링 및 관련 기술 서비스업","토목설계,건축설계,감리,측량/토목건축공사",2011-04-28,KOSPI,023350.KS
BNK금융지주,138930,기타 금융업,금융지주회사,2011-03-30,KOSPI,138930.KS
롯데에너지머티리얼즈,020150,전자부품 제조업,"인쇄회로기판(PCB)용 전해동박(ACF,UCF),에폭시용 동박,전해콘덴서용 알루미늄박 제조,판매",2011-03-04,KOSPI,020150.KS
현대위아,011210,자동차 신품 부품 제조업,"자동차부품, 공작기계 등",2011-02-21,KOSPI,011210.KS
선진,136490,동물용 사료 및 조제식품 제조업,조제동물사료,2011-02-16,KOSPI,136490.KS
미원화학,134380,기타 화학제품 제조업,"계면활성제, 황산및분황",2011-02-15,KOSPI,134380.KS
시디즈,134790,가구 제조업,의자,2011-01-25,KOSPI,134790.KS
한화엔진,082740,일반 목적용 기계 제조업,"대형선박용엔진,내연발전엔진",2011-01-04,KOSPI,082740.KS
대성에너지,117580,연료용 가스 제조 및 배관공급업,천연가스,2010-12-24,KOSPI,117580.KS
현대퓨처넷,126560,전기 통신업,"디지털 사이니지, 기업 메시징 등",2010-12-23,KOSPI,126560.KS
KTis,058860,기타 정보 서비스업,"114전화번호안내, 고객센터",2010-12-17,KOSPI,058860.KS
한전산업,130660,"건축기술, 엔지니어링 및 관련 기술 서비스업","발전설비 운전·정비, 전기검침",2010-12-16,KOSPI,130660.KS
엘브이엠씨,900140,자동차 판매업,지주회사,2010-11-30,KOSPI,900140.KS
미스토홀딩스,081660,생활용품 도매업,"스포츠의류,신발,가방,시계,골프장비,화장품,가죽제품(지갑,키홀더) 도매,수출입",2010-09-28,KOSPI,081660.KS
KTcs,058850,기타 정보 서비스업,전화번호검색 데이타제공/콜센터 운영,2010-09-16,KOSPI,058850.KS
현대홈쇼핑,057050,무점포 소매업,TV홈쇼핑 도소매/홈쇼핑프로그램 제작,2010-09-13,KOSPI,057050.KS
도화엔지니어링,002150,"건축기술, 엔지니어링 및 관련 기술 서비스업","토목설계,건축설계,종합감리전문업,종합기술용역,엔지니어링",2010-08-12,KOSPI,002150.KS
대성산업,128820,연료 소매업,"주요소운영,기계판매 등",2010-07-30,KOSPI,128820.KS
아이마켓코리아,122900,상품 종합 도매업,B2B 전자상거래,2010-07-30,KOSPI,122900.KS
한미약품,128940,의약품 제조업,의약품,2010-07-30,KOSPI,128940.KS
우진,105840,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",원전용계측기,2010-07-26,KOSPI,105840.KS
무학,033920,알코올음료 제조업,소주,2010-07-20,KOSPI,033920.KS
이연제약,102460,의약품 제조업,"항생제,순환기제",2010-06-10,KOSPI,102460.KS
한국화장품,123690,생활용품 도매업,화장품,2010-06-01,KOSPI,123690.KS
에스제이엠,123700,자동차 신품 부품 제조업,자동차및산업용Bellows,2010-05-31,KOSPI,123700.KS
HL홀딩스,060980,기타 금융업,지주회사 및 경영컨설팅 서비스업,2010-05-19,KOSPI,060980.KS
삼성생명,032830,보험업,"생명보험,부동산 임대",2010-05-12,KOSPI,032830.KS
신세계푸드,031440,음식점업,"단체급식, 식자재유통, 외식",2010-04-29,KOSPI,031440.KS
한화생명,088350,보험업,생명보험,2010-03-17,KOSPI,088350.KS
조선선재,120030,기타 금속 가공제품 제조업,용접재료,2010-02-19,KOSPI,120030.KS
코오롱인더,120110,화학섬유 제조업,"산업자재, 화학, 필름",2010-02-01,KOSPI,120110.KS
KC코트렐,119650,일반 목적용 기계 제조업,전기집진기 등,2010-01-29,KOSPI,119650.KS
지역난방공사,071320,"증기, 냉·온수 및 공기조절 공급업","집단에너지공급 및 전기,증기 생산,판매",2010-01-29,KOSPI,071320.KS
영흥,012160,1차 철강 제조업,와이어로프 등,2010-01-25,KOSPI,012160.KS
메타케어,118000,기계장비 및 관련 물품 도매업,"의약품, 의료소모품, 의료기기 도매",2009-12-30,KOSPI,118000.KS
한전기술,052690,"건축기술, 엔지니어링 및 관련 기술 서비스업",원자력발전소 설계 등,2009-12-14,KOSPI,052690.KS
GKL,114090,유원지 및 기타 오락관련 서비스업,카지노,2009-11-19,KOSPI,114090.KS
SK,034730,기타 금융업,"지주회사, 시스템통합(SI), 정보통신사업 관련 컨설팅,조사용역,정보통신기술 연구개발/정보통신기기,소프트웨어 개발,도매",2009-11-11,KOSPI,034730.KS
황금에스티,032560,1차 비철금속 제조업,"스테인레스 냉연, 열연",2009-10-29,KOSPI,032560.KS
하이트진로,000080,알코올음료 제조업,"맥주, 소주",2009-10-19,KOSPI,000080.KS
동양생명,082640,보험업,생명보험,2009-10-08,KOSPI,082640.KS
유니온머티리얼,047400,"내화, 비내화 요업제품 제조업","페라이트,세라믹 제조,도매",2009-09-29,KOSPI,047400.KS
형지엘리트,093240,봉제의복 제조업,"학생복,스포츠의류,작업복 제조,도매",2009-09-28,KOSPI,093240.KS
키움증권,039490,금융 지원 서비스업,"유가증권의 매매, 위탁, 인수, 주선",2009-08-03,KOSPI,039490.KS
영원무역,111770,상품 종합 도매업,스포츠의류,2009-07-30,KOSPI,111770.KS
한미글로벌,053690,"건축기술, 엔지니어링 및 관련 기술 서비스업","건축 설계,감리/건축공사,토목공사,설비공사,전기공사,안전공사",2009-06-23,KOSPI,053690.KS
동아지질,028100,기반조성 및 시설물 축조관련 전문공사업,"보링그라우팅공사,토공사,철근콘크리트공사,상하수도공사,비계구조물해체공사,수중공사/지질조사,시공감리",2009-06-12,KOSPI,028100.KS
HD현대마린엔진,071970,일반 목적용 기계 제조업,"조선기자재, 기계부품",2009-05-15,KOSPI,071970.KS
LX하우시스,108670,플라스틱제품 제조업,"창호재, 자동차부품 등",2009-04-20,KOSPI,108670.KS
한세실업,105630,봉제의복 제조업,의류 완제품,2009-03-20,KOSPI,105630.KS
주성코퍼레이션,109070,통신 및 방송 장비 제조업,"ICS중계기, 블랙박스",2009-03-17,KOSPI,109070.KS
미원홀딩스,107590,기타 금융업,도료첨가제,2009-03-02,KOSPI,107590.KS
NAVER,035420,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",포털 서비스 및 온라인 광고,2008-11-28,KOSPI,035420.KS
부국철강,026940,1차 철강 제조업,철강,2008-10-14,KOSPI,026940.KS
KB금융,105560,기타 금융업,-,2008-10-10,KOSPI,105560.KS
한국철강,104700,1차 철강 제조업,철근. 단조강. 파이프,2008-09-29,KOSPI,104700.KS
일진전기,103590,절연선 및 케이블 제조업,,2008-08-01,KOSPI,103590.KS
풍산,103140,1차 비철금속 제조업,,2008-07-30,KOSPI,103140.KS
LG이노텍,011070,전자부품 제조업,기타 전자부품 제조업,2008-07-24,KOSPI,011070.KS
명문제약,017180,의약품 제조업,"의약품(ROBAXIN 주사,KIMITE패취) 제조,판매",2008-07-10,KOSPI,017180.KS
비상교육,100220,"서적, 잡지 및 기타 인쇄물 출판업","참고서 출판/소프트웨어 개발,공급",2008-06-30,KOSPI,100220.KS
동성케미컬,102260,합성고무 및 플라스틱 물질 제조업,,2008-06-23,KOSPI,102260.KS
쌍방울,102280,봉제의복 제조업,,2008-06-10,KOSPI,102280.KS
LG유플러스,032640,전기 통신업,"개인휴대통신서비스,음성서비스,데이터서비스,부가통신/단말기 도소매/프로그램 개발,자료제공",2008-04-21,KOSPI,032640.KS
인바이오젠,101140,기계장비 및 관련 물품 도매업,"신발,의류,스포츠용품 도매,제조",2008-04-02,KOSPI,101140.KS
아시아나항공,020560,항공 여객 운송업,"항공운송(여객운송,화물운송)/항공기 제조,정비수리",2008-03-28,KOSPI,020560.KS
SNT에너지,100840,일반 목적용 기계 제조업,"공냉식 열교환장치,폐열회수장치 제조",2008-02-22,KOSPI,100840.KS
진양홀딩스,100250,플라스틱제품 제조업,"투자,경영컨설팅",2008-02-15,KOSPI,100250.KS
엔케이,085310,"구조용 금속제품, 탱크 및 증기발생기 제조업","고압가스용기,선박용,육상용 소화설비장치,천연가스이동식충전소 제조,도매",2008-01-24,KOSPI,085310.KS
한전KPS,051600,전기 및 통신 공사업,"일반전기공사,발전설비정비공사,점검,수리,엔지니어링",2007-12-14,KOSPI,051600.KS
이아이디,093230,기타 전문 도매업,"무선통신기기부품,전시용 핸드폰모형기(ADM) 제조",2007-11-01,KOSPI,093230.KS
기신정기,092440,특수 목적용 기계 제조업,"몰드베이스,금형부품,정밀기계기구 제조,도매,무역",2007-10-30,KOSPI,092440.KS
KSS해운,044450,해상 운송업,"특수화물해상운송(액화가스,LPG,암모니아,VCM,석유화학제품 등), 선박대여",2007-10-26,KOSPI,044450.KS
효성 ITX,094280,기타 사업지원 서비스업,"컨택센터서비스, Cloud솔루션, CDN, 프로젝터판매",2007-10-25,KOSPI,094280.KS
유나이티드,033270,의약품 제조업,"홈타민 진생연질60C(비타민제),항암제,항생제,순환기계,해열진통제,소화기계약품 제조",2007-10-23,KOSPI,033270.KS
디아이씨,092200,자동차 신품 부품 제조업,"자동차부품(트란스밋숀,프런트액슬,기어,전동축),변속동력전달장치,특수공구,농기계 및 산업기계부품 제조,무역",2007-10-18,KOSPI,092200.KS
CJ제일제당,097950,기타 식품 제조업,"설탕,소맥분,조미식품,육가공식품(돈육,돼지비계,돼지식용설육),대두가공식품,사료,의약품,생활화학제품 제조,도매,무역/통신판매",2007-09-28,KOSPI,097950.KS
팬오션,028670,해상 운송업,"해상화물운송(외항,운수보관)",2007-09-21,KOSPI,028670.KS
HJ중공업,097230,토목 건설업,"선박건조,기계플랜트 제조/토목공사,건축공사,조경공사,전기공사,가스공사,준설공사,기계설비공사",2007-08-31,KOSPI,097230.KS
JW홀딩스,096760,기타 금융업,의약품 수출입업,2007-07-31,KOSPI,096760.KS
SK이노베이션,096770,석유 정제품 제조업,"석유정제,석유화학제품,윤활유제품,아스팔트제품,의약중간체 제조,판매,유전개발,대체에너지사업",2007-07-25,KOSPI,096770.KS
삼성카드,029780,기타 금융업,"신용카드업,상품신용판매,현금서비스,카드론,리스,기업대출,여행업무,통신판매",2007-06-27,KOSPI,029780.KS
알루코,001780,1차 비철금속 제조업,"알루미늄제품,샷시 제조",2007-06-07,KOSPI,001780.KS
웅진씽크빅,095720,초등 교육기관,"기타출판 제조/서적,교구,통신판매 도소매/부동산 임대/교구렌탈,컴퓨터운용관련서비스",2007-05-31,KOSPI,095720.KS
맵스리얼티1,094800,신탁업 및 집합투자업,,2007-04-09,KOSPI,094800.KS
메타랩스,090370,봉제의복 제조업,"여성용 의류(캐쥬얼티셔츠,바지) 제조",2006-12-26,KOSPI,090370.KS
후성,093370,기초 화학물질 제조업,"불소화물 제조,도매",2006-12-22,KOSPI,093370.KS
LF,093050,봉제의복 제조업,"기성복, 의류, 잡화, 제조",2006-12-01,KOSPI,093050.KS
주연테크,044380,컴퓨터 및 주변장치 제조업,"각종컴퓨터,주변기기 제조/소프트웨어 개발",2006-11-15,KOSPI,044380.KS
코스맥스비티아이,044820,기타 금융업,"화장품,의약부외품 제조,도매",2006-11-13,KOSPI,044820.KS
인천도시가스,034590,연료용 가스 제조 및 배관공급업,도시가스 공급/가스설비공사,2006-11-07,KOSPI,034590.KS
삼정펄프,009770,"펄프, 종이 및 판지 제조업","지류화장지,안면용,위생용 티슈 제조,판매",2006-10-17,KOSPI,009770.KS
KEC,092220,반도체 제조업,반도체 제조,2006-10-16,KOSPI,092220.KS
KPX홀딩스,092230,기초 화학물질 제조업,지주회사,2006-10-12,KOSPI,092230.KS
HDC현대EP,089470,기타 화학제품 제조업,"합성수지(PP컴파운딩가공,자동차범퍼,내장제) 제조,도소매",2006-09-25,KOSPI,089470.KS
세원이앤씨,091090,"구조용 금속제품, 탱크 및 증기발생기 제조업","화학플랜트 설비,기계 제작(음식료,석유화학사업관련)/유공압기기 판매",2006-07-31,KOSPI,091090.KS
노루페인트,090350,기타 화학제품 제조업,페인트 제조,2006-07-03,KOSPI,090350.KS
아모레퍼시픽,090430,기타 화학제품 제조업,"화장품,생활용품 제조, 판매",2006-06-29,KOSPI,090430.KS
롯데관광개발,032350,여행사 및 기타 여행보조 서비스업,"국내외여행알선,관광개발,전세운수,항공권매매대행",2006-06-08,KOSPI,032350.KS
평화산업,090080,자동차 신품 부품 제조업,"자동차부품(방진고무,방류고무(COVER류,CUP류),호스류),장비시설용 부품 제조,판매",2006-06-02,KOSPI,090080.KS
우진플라임,049800,특수 목적용 기계 제조업,"플라스틱사출성형기 제조,판매",2006-05-24,KOSPI,049800.KS
신세계I&C,035510,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","IT시스템 개발, 운영 및 유지보수, IT 컨설팅, IT장비솔루션 총판, 아웃소싱, IDC, IT기기 및 휴대폰 유통, 전자상품권",2006-05-18,KOSPI,035510.KS
진도,088790,기타 전문 도매업,"모피제품 제조,가공",2006-03-28,KOSPI,088790.KS
맥쿼리인프라,088980,신탁업 및 집합투자업,증권투자회사,2006-03-15,KOSPI,088980.KS
롯데쇼핑,023530,종합 소매업,"백화점(의류,식품 및 잡화),할인점 운영/전자상거래",2006-02-09,KOSPI,023530.KS
현대글로비스,086280,기타 운송관련 서비스업,"화물운송주선,화물포장,자동차 수리/산업용 기계장비 임대",2005-12-26,KOSPI,086280.KS
티비에이치글로벌,084870,봉제의복 제조업,"캐주얼의류,여성의류,남성의류 제조,도소매",2005-12-19,KOSPI,084870.KS
하나금융지주,086790,기타 금융업,기타 금융,2005-12-12,KOSPI,086790.KS
제일연마,001560,기타 비금속 광물제품 제조업,"연마석,다이아몬드공구 제조,도소매/주택건설",2005-12-09,KOSPI,001560.KS
현대리바트,079430,가구 제조업,"일반목재가구(책상,침실가구),주방가구,목창호,사무용가구,선실가구 제조",2005-11-22,KOSPI,079430.KS
대한제강,084010,1차 철강 제조업,"제강,철재,철근,환봉,마환봉,빌레트 제조",2005-10-31,KOSPI,084010.KS
새론오토모티브,075180,자동차 신품 부품 제조업,"자동차부품(브레이크패드,라이닝)",2005-10-21,KOSPI,075180.KS
그린케미칼,083420,기타 화학제품 제조업,"비이온계면활성제 제조,도매",2005-10-20,KOSPI,083420.KS
대상홀딩스,084690,기타 금융업,지주회사,2005-08-17,KOSPI,084690.KS
코아스,071950,가구 제조업,"사무용가구,금속가구 도매,제조",2005-08-04,KOSPI,071950.KS
